# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 24 03:51:20 2026
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
#
kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_impact,koi_impact_err1,koi_impact_err2,koi_prad,koi_prad_err1,koi_prad_err2
K00255.01,Kepler-505 b,CONFIRMED,CANDIDATE,0.3500,0.0520,-0.3500,2.47,1.700e-01,-2.100e-01
K02652.01,Kepler-1304 b,CONFIRMED,CANDIDATE,0.9680,0.0460,-0.6840,2.94,6.100e-01,-5.000e-01
K02654.01,Kepler-1305 b,CONFIRMED,CANDIDATE,0.7040,0.0050,-0.5240,1.75,5.100e-01,-1.700e-01
K02655.01,Kepler-1306 b,CONFIRMED,CANDIDATE,0.2130,0.2440,-0.2130,1.83,2.100e-01,-1.700e-01
K02426.01,Kepler-1235 b,CONFIRMED,CANDIDATE,0.0690,0.3950,-0.0690,0.70,1.400e-01,-6.000e-02
K02427.01,,FALSE POSITIVE,FALSE POSITIVE,0.5230,0.4360,-0.3150,1.15,1.700e-01,-1.500e-01
K00245.01,Kepler-37 d,CONFIRMED,CANDIDATE,0.0190,0.3360,-0.0190,1.90,8.000e-02,-7.000e-02
K02428.01,,FALSE POSITIVE,FALSE POSITIVE,0.6330,0.3170,-0.4130,2.11,4.500e-01,-3.000e-01
K02429.01,,FALSE POSITIVE,FALSE POSITIVE,1.2100,10.8000,-0.0740,17.94,3.660e+00,-1.230e+00
K02503.01,Kepler-1846 b,CONFIRMED,CANDIDATE,0.0590,0.3670,-0.0590,0.96,6.000e-02,-4.000e-02
K02504.01,Kepler-1685 b,CONFIRMED,CANDIDATE,0.0110,0.4400,-0.0110,2.34,6.700e-01,-2.200e-01
K02505.01,,FALSE POSITIVE,FALSE POSITIVE,1.0790,0.2580,-0.0910,29.27,3.960e+00,-1.109e+01
K02506.01,Kepler-1262 b,CONFIRMED,CANDIDATE,0.2240,0.2340,-0.2240,1.79,5.900e-01,-2.500e-01
K02507.01,Kepler-1847 b,CONFIRMED,CANDIDATE,0.5720,0.3830,-0.3690,1.93,6.200e-01,-2.000e-01
K02579.01,Kepler-1859 b,CONFIRMED,CANDIDATE,0.5090,0.4280,-0.3080,1.53,2.600e-01,-2.200e-01
K02580.01,Kepler-1281 b,CONFIRMED,CANDIDATE,0.1950,0.2830,-0.1950,1.59,4.300e-01,-1.100e-01
K00250.04,Kepler-26 e,CONFIRMED,CANDIDATE,0.3930,0.0270,-0.3930,2.13,1.200e-01,-1.600e-01
K02581.01,Kepler-1860 b,CONFIRMED,CANDIDATE,0.3640,0.0830,-0.3640,0.87,9.000e-02,-5.000e-02
K02582.01,Kepler-1861 b,CONFIRMED,CANDIDATE,0.3220,0.1310,-0.3220,2.01,3.500e-01,-3.800e-01
K02668.01,Kepler-1310 b,CONFIRMED,CANDIDATE,0.2090,0.2390,-0.2090,1.40,1.600e-01,-8.000e-02
K02669.01,,FALSE POSITIVE,FALSE POSITIVE,0.9770,1.9280,-0.1050,46.07,1.139e+01,-4.090e+00
K02670.01,,FALSE POSITIVE,FALSE POSITIVE,0.6840,0.0030,-0.0030,24.40,3.850e+00,-4.300e+00
K02671.01,,CANDIDATE,CANDIDATE,0.0060,0.0280,-0.0060,59.50,0.000e+00,0.000e+00
K02671.02,,FALSE POSITIVE,FALSE POSITIVE,0.2023,0.2665,-0.2022,5.97,0.000e+00,0.000e+00
K02672.01,Kepler-396 c,CONFIRMED,CANDIDATE,0.2420,0.1770,-0.2420,4.70,6.100e-01,-3.700e-01
K02430.01,,FALSE POSITIVE,FALSE POSITIVE,0.1000,0.3580,-0.1000,1.50,1.700e-01,-1.400e-01
K02431.01,,FALSE POSITIVE,FALSE POSITIVE,0.5317,0.0472,-0.4463,1.91,3.400e-01,-1.500e-01
K02432.01,Kepler-1236 b,CONFIRMED,CANDIDATE,0.3350,0.1350,-0.3350,1.85,3.400e-01,-1.400e-01
K02433.01,Kepler-385 c,CONFIRMED,CANDIDATE,0.9590,0.0140,-0.6510,3.12,1.090e+00,-3.600e-01
K02433.02,Kepler-385 b,CONFIRMED,CANDIDATE,0.9530,0.0110,-0.6480,2.94,1.030e+00,-3.400e-01
K02508.01,,CANDIDATE,CANDIDATE,0.1920,0.2580,-0.1920,1.51,3.100e-01,-1.400e-01
K02509.01,Kepler-1263 b,CONFIRMED,CANDIDATE,0.2480,0.1990,-0.2480,1.13,4.000e-02,-9.000e-02
K00248.02,Kepler-49 c,CONFIRMED,CANDIDATE,0.6850,0.1920,-0.4590,2.13,1.200e-01,-1.600e-01
K02510.01,,FALSE POSITIVE,FALSE POSITIVE,1.1750,26.7000,-0.5380,18.13,3.480e+00,-1.490e+00
K02511.01,,FALSE POSITIVE,FALSE POSITIVE,0.4000,0.0530,-0.4000,1.09,2.900e-01,-1.300e-01
K02583.01,Kepler-1998 b,CONFIRMED,CANDIDATE,0.2380,0.2320,-0.2380,0.60,8.000e-02,-4.000e-02
K02585.01,Kepler-392 b,CONFIRMED,CANDIDATE,0.0700,0.3800,-0.0700,0.95,1.400e-01,-1.700e-01
K02586.01,Kepler-1282 b,CONFIRMED,CANDIDATE,0.2090,0.2370,-0.2090,1.66,5.000e-01,-1.700e-01
K02587.01,Kepler-1283 b,CONFIRMED,CANDIDATE,0.1090,0.3360,-0.1090,1.13,2.900e-01,-1.000e-01
K02588.01,Kepler-1687 b,CONFIRMED,CANDIDATE,0.9460,0.0040,-0.6560,1.50,8.000e-02,-8.000e-02
K02656.01,,CANDIDATE,CANDIDATE,0.2280,0.2180,-0.2280,1.33,4.100e-01,-1.700e-01
K02657.01,,CANDIDATE,CANDIDATE,0.1200,0.3340,-0.1200,0.58,5.000e-02,-5.000e-02
K02658.01,Kepler-1866 b,CONFIRMED,CANDIDATE,0.9830,0.0030,-0.6870,2.08,3.300e-01,-1.900e-01
K02659.01,,FALSE POSITIVE,FALSE POSITIVE,0.9310,0.0410,-0.6630,2.57,3.900e-01,-7.200e-01
K02660.01,Kepler-1307 b,CONFIRMED,CANDIDATE,0.0230,0.4290,-0.0230,2.39,7.600e-01,-3.300e-01
K02434.01,,FALSE POSITIVE,FALSE POSITIVE,1.2620,71.4400,-4.1770,29.55,9.270e+00,-3.090e+00
K02435.01,,FALSE POSITIVE,FALSE POSITIVE,1.0000,0.0220,-0.7180,2.60,7.200e-01,-2.200e-01
K02436.01,Kepler-1237 b,CONFIRMED,CANDIDATE,0.0240,0.4280,-0.0240,2.59,5.800e-01,-2.200e-01
K00245.02,Kepler-37 c,CONFIRMED,CANDIDATE,0.0860,0.3760,-0.0860,0.72,3.000e-02,-3.000e-02
K02437.01,Kepler-1238 b,CONFIRMED,CANDIDATE,0.8780,0.0760,-0.6640,1.93,3.700e-01,-3.000e-01
K02512.01,,CANDIDATE,CANDIDATE,0.9720,0.0090,-0.6770,3.14,7.700e-01,-3.000e-01
K02513.01,Kepler-2002 b,CONFIRMED,CANDIDATE,1.2280,71.2200,-4.9890,28.47,9.160e+00,-3.650e+00
K02514.01,,FALSE POSITIVE,FALSE POSITIVE,0.1600,0.3090,-0.1600,1.33,4.600e-01,-1.500e-01
K02516.01,,CANDIDATE,CANDIDATE,0.3510,0.1150,-0.3510,1.43,2.400e-01,-3.900e-01
K02517.01,Kepler-1264 b,CONFIRMED,CANDIDATE,0.9410,0.0150,-0.6970,1.21,1.600e-01,-5.000e-02
K02589.01,Kepler-1284 b,CONFIRMED,CANDIDATE,0.5250,0.3800,-0.3170,1.19,1.600e-01,-9.000e-02
K02590.01,,FALSE POSITIVE,FALSE POSITIVE,0.1228,0.3194,-0.1227,1.01,5.300e-01,-2.900e-01
K02592.01,,CANDIDATE,CANDIDATE,0.9520,0.0130,-0.6650,2.87,9.500e-01,-3.200e-01
K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE,0.9150,0.0200,-0.0560,12.94,1.800e+00,-4.200e+00
K00033.01,,FALSE POSITIVE,FALSE POSITIVE,0.3190,0.1670,-0.3180,51.34,2.150e+00,-1.150e+01
K00251.01,Kepler-125 b,CONFIRMED,CANDIDATE,0.5900,0.0560,-0.4290,2.54,1.900e-01,-2.100e-01
K02662.01,Kepler-1308 b,CONFIRMED,CANDIDATE,0.8720,0.0490,-0.6610,0.79,1.100e-01,-8.000e-02
K02664.01,Kepler-1309 b,CONFIRMED,CANDIDATE,0.9130,0.0140,-0.6370,2.66,3.000e-01,-3.000e-01
K00256.01,,FALSE POSITIVE,FALSE POSITIVE,0.0990,0.0810,-0.0990,6.51,5.200e-01,-7.700e-01
K02665.01,,FALSE POSITIVE,FALSE POSITIVE,0.4020,0.0380,-0.4020,0.73,2.300e-01,-7.000e-02
K02666.01,,CANDIDATE,CANDIDATE,0.9850,67.5200,-0.0420,3.47,8.000e-01,-3.200e-01
K02667.01,,FALSE POSITIVE,FALSE POSITIVE,0.0800,0.3770,-0.0800,1.51,4.500e-01,-1.600e-01
K02438.01,,FALSE POSITIVE,FALSE POSITIVE,0.5900,0.3660,-0.3740,1.80,3.700e-01,-1.400e-01
K02439.01,Kepler-1239 b,CONFIRMED,CANDIDATE,0.1170,0.3240,-0.1160,1.92,6.400e-01,-2.100e-01
K02440.01,Kepler-1240 b,CONFIRMED,CANDIDATE,0.1760,0.2890,-0.1760,1.32,2.000e-01,-1.800e-01
K02441.01,,FALSE POSITIVE,FALSE POSITIVE,0.3720,0.0850,-0.3720,0.81,4.000e-02,-6.000e-02
K02442.01,Kepler-386 c,CONFIRMED,CANDIDATE,0.6790,0.0250,-0.5170,1.95,9.000e-02,-1.500e-01
K02518.01,,FALSE POSITIVE,FALSE POSITIVE,1.1830,0.1500,-0.1500,24.20,7.050e+00,-3.020e+00
K02519.01,,CANDIDATE,CANDIDATE,0.9690,0.0200,-0.6690,2.25,7.000e-02,-1.200e-01
K02520.01,Kepler-1265 b,CONFIRMED,CANDIDATE,0.9110,0.0250,-0.7070,1.75,1.200e-01,-1.700e-01
K00248.03,Kepler-49 d,CONFIRMED,CANDIDATE,0.1870,0.0960,-0.1870,1.57,9.000e-02,-1.200e-01
K02521.01,Kepler-1266 b,CONFIRMED,CANDIDATE,0.8350,0.0920,-0.6020,2.64,1.000e-01,-1.900e-01
K02593.01,Kepler-1285 b,CONFIRMED,CANDIDATE,0.1820,0.2690,-0.1820,0.98,1.600e-01,-1.000e-01
K02594.01,Kepler-1286 b,CONFIRMED,CANDIDATE,0.6030,0.3360,-0.3790,2.42,7.500e-01,-4.000e-01
K02595.01,Kepler-393 b,CONFIRMED,CANDIDATE,0.2570,0.2030,-0.2570,1.24,2.300e-01,-1.900e-01
K02595.02,Kepler-393 c,CONFIRMED,CANDIDATE,0.0860,0.3590,-0.0860,1.12,2.100e-01,-1.700e-01
K02596.01,,FALSE POSITIVE,FALSE POSITIVE,1.2590,6.7380,-0.0680,30.39,8.570e+00,-2.870e+00
K02672.02,Kepler-396 b,CONFIRMED,CANDIDATE,0.6430,0.2460,-0.4200,3.32,4.200e-01,-2.700e-01
K00257.01,Kepler-506 b,CONFIRMED,CANDIDATE,0.0830,0.3540,-0.0830,2.63,7.000e-02,-9.000e-02
K02673.01,,FALSE POSITIVE,FALSE POSITIVE,1.1470,50.4100,-0.3850,44.14,1.288e+01,-4.290e+00
K02674.01,Kepler-1311 d,CONFIRMED,CANDIDATE,0.8140,0.0130,-0.0190,9.52,1.560e+00,-2.150e+00
K02674.02,Kepler-1311 b,CONFIRMED,CANDIDATE,0.5040,0.4370,-0.3060,1.50,2.400e-01,-3.400e-01
K02674.03,Kepler-1311 c,CONFIRMED,CANDIDATE,0.0540,0.4000,-0.0540,1.36,2.300e-01,-3.000e-01
K02443.01,Kepler-387 b,CONFIRMED,CANDIDATE,0.1210,0.3470,-0.1210,1.01,1.500e-01,-1.400e-01
K02443.02,Kepler-387 c,CONFIRMED,CANDIDATE,0.5570,0.4050,-0.3520,1.00,1.500e-01,-1.500e-01
K02444.01,Kepler-1241 b,CONFIRMED,CANDIDATE,0.7800,0.1740,-0.5660,2.53,6.500e-01,-2.100e-01
K02445.01,,CANDIDATE,CANDIDATE,1.0850,72.3100,-6.6960,11.97,3.300e+00,-1.420e+00
K00245.03,Kepler-37 b,CONFIRMED,CANDIDATE,0.4064,0.0520,-0.4064,0.27,1.000e-02,-1.000e-02
K02447.01,,FALSE POSITIVE,FALSE POSITIVE,0.7080,0.2370,-0.4660,0.83,1.800e-01,-2.200e-01
K02521.02,Kepler-1266 c,CONFIRMED,CANDIDATE,0.8950,0.0750,-0.6870,1.94,7.000e-02,-1.400e-01
K02522.01,Kepler-1848 b,CONFIRMED,CANDIDATE,0.8000,0.1210,-0.5860,1.25,7.000e-02,-6.000e-02
K02523.01,Kepler-1267 b,CONFIRMED,CANDIDATE,0.8130,0.1420,-0.5890,2.88,4.300e-01,-4.000e-01
K02524.01,Kepler-1268 b,CONFIRMED,CANDIDATE,0.0480,0.4090,-0.0480,2.41,4.200e-01,-4.600e-01
K02525.01,Kepler-1849 b,CONFIRMED,CANDIDATE,0.0210,0.4410,-0.0210,1.95,1.400e-01,-1.800e-01
K02597.01,Kepler-394 b,CONFIRMED,CANDIDATE,0.0540,0.4050,-0.0540,1.52,5.100e-01,-1.700e-01
K02597.02,Kepler-394 c,CONFIRMED,CANDIDATE,0.0830,0.3650,-0.0830,1.61,5.400e-01,-1.800e-01
K02597.03,Kepler-394 d,CONFIRMED,CANDIDATE,0.1190,0.3280,-0.1190,1.41,4.800e-01,-1.600e-01
K02598.01,,CANDIDATE,CANDIDATE,0.3840,0.0670,-0.3840,1.35,4.400e-01,-1.500e-01
K02600.01,,FALSE POSITIVE,FALSE POSITIVE,0.4150,0.0330,-0.4150,1.19,3.400e-01,-2.000e-01
K02375.01,,FALSE POSITIVE,FALSE POSITIVE,0.7900,0.1510,-0.5630,1.62,2.500e-01,-1.400e-01
K02376.01,Kepler-1214 b,CONFIRMED,CANDIDATE,0.1980,0.2490,-0.1980,2.34,3.300e-01,-3.000e-01
K02377.01,,CANDIDATE,CANDIDATE,0.8710,0.0910,-0.6380,1.55,3.100e-01,-1.600e-01
K00241.03,Kepler-124 b,CONFIRMED,CANDIDATE,0.9710,0.0100,-0.6820,1.06,7.000e-02,-4.000e-02
K02378.01,Kepler-1215 b,CONFIRMED,CANDIDATE,0.0770,0.3840,-0.0770,1.19,3.100e-01,-1.700e-01
K02448.01,Kepler-1242 b,CONFIRMED,CANDIDATE,0.9270,0.0060,-0.6510,3.28,4.200e-01,-4.200e-01
K02449.01,,CANDIDATE,CANDIDATE,0.9050,0.0340,-0.6550,3.41,4.500e-01,-4.100e-01
K02450.01,Kepler-1243 b,CONFIRMED,CANDIDATE,0.5330,0.4160,-0.3310,1.86,2.500e-01,-1.800e-01
K02451.01,,FALSE POSITIVE,FALSE POSITIVE,0.0450,0.4300,-0.0450,2.01,2.000e-01,-2.400e-01
K02452.01,,FALSE POSITIVE,FALSE POSITIVE,0.5350,0.0300,-0.4540,1.33,3.500e-01,-2.400e-01
K02526.01,,FALSE POSITIVE,FALSE POSITIVE,0.0156,0.4553,-0.0156,0.87,4.300e-01,-9.000e-02
K02527.01,Kepler-1850 b,CONFIRMED,CANDIDATE,0.3500,0.1130,-0.3500,0.55,3.000e-02,-3.000e-02
K02528.01,Kepler-1851 b,CONFIRMED,CANDIDATE,0.9650,0.0190,-0.7570,3.28,9.500e-01,-3.200e-01
K02529.01,Kepler-436 c,CONFIRMED,CANDIDATE,0.8990,0.0370,-0.6360,2.75,1.300e-01,-1.200e-01
K00248.04,Kepler-49 e,CONFIRMED,CANDIDATE,0.0140,0.3870,-0.0140,1.53,8.000e-02,-1.200e-01
K00251.02,Kepler-125 c,CONFIRMED,CANDIDATE,0.4250,0.5150,-0.2270,0.80,6.000e-02,-6.000e-02
K02601.01,,FALSE POSITIVE,FALSE POSITIVE,0.6640,0.0010,-0.5260,1.64,2.700e-01,-3.100e-01
K02602.01,Kepler-1287 b,CONFIRMED,CANDIDATE,0.0700,0.3910,-0.0700,1.58,2.100e-01,-1.800e-01
K02603.01,,CANDIDATE,CANDIDATE,0.2840,0.1640,-0.2830,1.77,3.500e-01,-2.800e-01
K02604.01,,CANDIDATE,CANDIDATE,1.1850,67.1900,-0.2210,16.25,1.760e+00,-1.180e+00
K02379.01,,FALSE POSITIVE,FALSE POSITIVE,1.1600,70.4800,-4.0380,20.75,6.050e+00,-3.020e+00
K02380.01,,CANDIDATE,CANDIDATE,0.0230,0.4340,-0.0230,1.59,4.900e-01,-1.700e-01
K02381.01,,FALSE POSITIVE,FALSE POSITIVE,0.5230,0.4460,-0.3120,1.35,3.400e-01,-1.100e-01
K02382.01,,FALSE POSITIVE,FALSE POSITIVE,0.5200,0.4380,-0.3190,1.38,3.700e-01,-3.000e-01
K02383.01,Kepler-1216 b,CONFIRMED,CANDIDATE,0.0930,0.3540,-0.0930,1.56,2.400e-01,-2.400e-01
K02453.01,,CANDIDATE,CANDIDATE,0.8820,0.0590,-0.6620,0.84,1.700e-01,-1.500e-01
K02454.01,,FALSE POSITIVE,FALSE POSITIVE,0.6880,0.2590,-0.4740,1.04,2.300e-01,-1.100e-01
K02455.01,,FALSE POSITIVE,FALSE POSITIVE,0.0510,0.3970,-0.0500,1.77,5.000e-01,-2.000e-01
K02456.01,,FALSE POSITIVE,FALSE POSITIVE,1.1940,69.1600,-0.3300,24.49,7.830e+00,-2.620e+00
K00245.04,Kepler-37 e,CONFIRMED,FALSE POSITIVE,,,,,,
K02457.01,Kepler-1244 b,CONFIRMED,CANDIDATE,0.0010,0.4480,-0.0010,1.45,3.100e-01,-4.500e-01
K02530.01,Kepler-1269 b,CONFIRMED,CANDIDATE,0.8510,0.0710,-0.6360,2.50,3.800e-01,-5.700e-01
K02531.01,,CANDIDATE,CANDIDATE,0.1050,0.3510,-0.1050,1.96,1.700e-01,-1.600e-01
K02532.01,Kepler-1852 b,CONFIRMED,CANDIDATE,0.9110,0.0020,-0.6450,2.27,3.400e-01,-1.600e-01
K02533.01,Kepler-1270 b,CONFIRMED,CANDIDATE,0.3500,0.1000,-0.3500,3.34,7.100e-01,-5.700e-01
K02534.01,Kepler-1271 b,CONFIRMED,CANDIDATE,0.8390,0.0350,-0.5730,1.62,2.900e-01,-2.500e-01
K02605.01,,FALSE POSITIVE,FALSE POSITIVE,0.0070,0.2910,-0.0060,1.30,1.000e-01,-1.100e-01
K02606.01,,FALSE POSITIVE,FALSE POSITIVE,1.2051,0.4466,-0.2258,45.49,3.021e+01,-5.400e+00
K02607.01,,CANDIDATE,CANDIDATE,0.6770,0.0110,-0.5120,2.07,3.200e-01,-4.000e-01
K02608.01,Kepler-1288 b,CONFIRMED,CANDIDATE,0.2380,0.2180,-0.2380,1.84,4.600e-01,-8.400e-01
K02609.01,,FALSE POSITIVE,FALSE POSITIVE,0.4030,0.0600,-0.4030,1.26,3.600e-01,-1.200e-01
K02384.01,,CANDIDATE,CANDIDATE,1.0950,7.1020,-0.1130,39.80,5.100e+00,-1.429e+01
K02385.01,,FALSE POSITIVE,FALSE POSITIVE,0.0740,0.3770,-0.0740,2.74,4.300e-01,-2.300e-01
K02386.01,,CANDIDATE,CANDIDATE,1.1870,7.1630,-0.1660,28.42,4.680e+00,-3.110e+00
K02387.01,Kepler-1217 b,CONFIRMED,CANDIDATE,0.1330,0.3320,-0.1330,1.87,6.100e-01,-2.000e-01
K00028.01,,FALSE POSITIVE,FALSE POSITIVE,0.9380,0.0150,-0.0140,82.46,2.179e+01,-2.419e+01
K02458.01,Kepler-1245 b,CONFIRMED,CANDIDATE,0.7340,0.2080,-0.5320,1.63,3.900e-01,-2.500e-01
K02460.01,Kepler-1246 b,CONFIRMED,CANDIDATE,0.9510,0.0260,-0.6900,1.51,1.200e-01,-1.300e-01
K02461.01,Kepler-1247 b,CONFIRMED,CANDIDATE,0.6800,0.2710,-0.4670,2.47,6.000e-01,-2.400e-01
K02462.01,Kepler-1838 b,CONFIRMED,CANDIDATE,0.6870,0.0290,-0.5100,1.75,2.500e-01,-4.500e-01
K02463.01,Kepler-1248 b,CONFIRMED,CANDIDATE,0.4860,0.0500,-0.4360,1.04,1.700e-01,-6.000e-02
K02534.02,,CANDIDATE,CANDIDATE,0.9400,0.0370,-0.6400,1.39,2.600e-01,-2.100e-01
K02535.01,Kepler-1853 b,CONFIRMED,CANDIDATE,0.9880,0.0050,-0.6870,2.96,1.000e-01,-1.700e-01
K02536.01,Kepler-1272 b,CONFIRMED,CANDIDATE,0.8290,0.0470,-0.5640,2.43,7.400e-01,-4.000e-01
K02537.01,,FALSE POSITIVE,FALSE POSITIVE,0.6285,0.3430,-0.4039,2.01,7.100e-01,-1.600e-01
K02538.01,Kepler-1854 b,CONFIRMED,CANDIDATE,0.2400,0.2230,-0.2400,1.46,1.000e-01,-6.000e-02
K00249.01,Kepler-504 b,CONFIRMED,CANDIDATE,0.0680,0.2820,-0.0680,1.57,2.100e-01,-2.400e-01
K02610.01,,CANDIDATE,CANDIDATE,0.6930,0.2350,-0.4680,2.74,6.500e-01,-1.310e+00
K00252.01,Kepler-1663 b,CONFIRMED,CANDIDATE,0.7150,0.0400,-0.5120,2.64,1.500e-01,-2.300e-01
K02611.01,,FALSE POSITIVE,FALSE POSITIVE,0.2080,0.2620,-0.2080,1.62,1.200e-01,-1.500e-01
K02613.01,,CANDIDATE,CANDIDATE,0.2750,0.1820,-0.2750,2.41,4.800e-01,-1.600e-01
K02615.01,Kepler-1290 b,CONFIRMED,CANDIDATE,0.2040,0.2430,-0.2040,1.49,4.400e-01,-1.500e-01
K02616.01,,FALSE POSITIVE,FALSE POSITIVE,0.0680,0.8720,-0.0680,1.80,1.600e-01,-1.600e-01
K00242.01,Kepler-503 b,FALSE POSITIVE,CANDIDATE,0.0500,0.1280,-0.0500,5.53,1.590e+00,-5.300e-01
K02388.01,,FALSE POSITIVE,FALSE POSITIVE,0.6570,0.3450,-0.6570,0.99,2.300e-01,-1.500e-01
K02389.01,Kepler-1218 b,CONFIRMED,CANDIDATE,0.6030,0.3270,-0.3840,1.33,2.100e-01,-1.600e-01
K02390.01,Kepler-1219 b,CONFIRMED,CANDIDATE,0.2240,0.2230,-0.2240,3.21,5.800e-01,-1.160e+00
K02392.01,Kepler-1220 b,CONFIRMED,CANDIDATE,0.3370,0.1180,-0.3370,1.40,1.900e-01,-1.100e-01
K02464.01,,FALSE POSITIVE,FALSE POSITIVE,0.6650,0.2830,-0.4620,0.72,8.000e-02,-8.000e-02
K02465.01,,FALSE POSITIVE,FALSE POSITIVE,0.4000,0.0710,-0.4000,1.25,3.400e-01,-1.500e-01
K02466.01,Kepler-388 b,CONFIRMED,CANDIDATE,0.0850,0.3760,-0.0850,0.88,7.000e-02,-8.000e-02
K02466.02,Kepler-388 c,CONFIRMED,CANDIDATE,0.0300,0.4140,-0.0300,0.91,7.000e-02,-8.000e-02
K00246.01,Kepler-68 b,CONFIRMED,CANDIDATE,0.0150,0.3470,-0.0150,2.21,1.200e-01,-1.100e-01
K02539.01,,FALSE POSITIVE,FALSE POSITIVE,0.4030,0.0610,-0.4030,1.07,3.500e-01,-1.200e-01
K02540.01,,FALSE POSITIVE,FALSE POSITIVE,0.1150,0.3380,-0.1150,1.57,8.000e-02,-1.600e-01
K02541.01,Kepler-391 b,CONFIRMED,CANDIDATE,0.8730,0.0020,-0.6210,3.36,6.200e-01,-5.600e-01
K02542.01,Kepler-1855 b,CONFIRMED,CANDIDATE,0.1530,0.3010,-0.1530,0.67,1.100e-01,-1.000e-01
K02543.01,Kepler-1856 b,CONFIRMED,CANDIDATE,0.2860,0.1820,-0.2860,1.37,5.000e-02,-9.000e-02
K02617.01,Kepler-1291 b,CONFIRMED,CANDIDATE,0.5950,0.0510,-0.4620,1.43,2.400e-01,-1.300e-01
K02618.01,,FALSE POSITIVE,FALSE POSITIVE,0.7470,0.2090,-0.5220,1.36,3.600e-01,-1.600e-01
K02619.01,Kepler-1292 b,CONFIRMED,CANDIDATE,0.0010,0.4550,-0.0010,1.71,5.200e-01,-1.700e-01
K02620.01,Kepler-1862 b,CONFIRMED,CANDIDATE,0.8830,0.0840,-0.6670,2.27,5.100e-01,-1.700e-01
K02621.01,,FALSE POSITIVE,FALSE POSITIVE,0.4200,0.0420,-0.4200,1.97,6.700e-01,-2.200e-01
K02393.01,Kepler-1834 b,CONFIRMED,CANDIDATE,0.0720,0.4090,-0.0720,1.32,5.000e-02,-8.000e-02
K02395.01,,FALSE POSITIVE,FALSE POSITIVE,0.3190,0.1170,-0.3190,2.46,7.800e-01,-2.800e-01
K02397.01,Kepler-1221 b,CONFIRMED,CANDIDATE,0.5950,0.0210,-0.4880,1.47,1.600e-01,-1.300e-01
K02398.01,,FALSE POSITIVE,FALSE POSITIVE,1.1300,5.3650,-0.1250,91.91,1.600e+01,-2.973e+01
K02399.01,Kepler-1222 b,CONFIRMED,CANDIDATE,0.4050,0.0800,-0.3930,0.89,5.000e-02,-7.000e-02
K02467.01,Kepler-1839 b,CONFIRMED,CANDIDATE,0.6160,0.3290,-0.4010,1.15,3.500e-01,-1.100e-01
K02468.01,Kepler-1249 b,CONFIRMED,CANDIDATE,0.0170,0.4290,-0.0170,1.74,5.100e-01,-1.800e-01
K02469.01,Kepler-1840 b,CONFIRMED,CANDIDATE,0.0690,0.3830,-0.0690,2.34,9.000e-02,-1.700e-01
K02470.01,,FALSE POSITIVE,FALSE POSITIVE,0.7600,0.1840,-0.5160,1.08,1.700e-01,-1.500e-01
K02471.01,Kepler-1841 b,CONFIRMED,CANDIDATE,0.9220,0.0450,-0.6240,1.66,9.000e-02,-1.600e-01
K02544.01,Kepler-1273 b,CONFIRMED,CANDIDATE,0.0210,0.4290,-0.0210,2.38,7.100e-01,-2.200e-01
K02545.01,Kepler-1274 b,CONFIRMED,CANDIDATE,0.6990,0.2740,-0.5000,1.42,9.000e-02,-1.300e-01
K02546.01,,FALSE POSITIVE,FALSE POSITIVE,0.6200,0.3360,-0.4000,1.13,3.600e-01,-1.400e-01
K02547.01,Kepler-1857 b,CONFIRMED,CANDIDATE,0.1630,0.2920,-0.1630,1.48,4.000e-01,-2.600e-01
K02548.01,,CANDIDATE,CANDIDATE,0.2810,0.1810,-0.2810,19.10,5.150e+00,-9.100e-01
K00250.01,Kepler-26 b,CONFIRMED,CANDIDATE,0.0470,0.2330,-0.0470,2.83,1.600e-01,-2.200e-01
K02622.01,,FALSE POSITIVE,FALSE POSITIVE,0.2330,0.2140,-0.2330,1.11,2.400e-01,-1.000e-01
K00253.01,Kepler-2000 b,CONFIRMED,CANDIDATE,0.1970,0.2370,-0.1970,2.73,1.000e-01,-1.700e-01
K02623.01,Kepler-1293 b,CONFIRMED,CANDIDATE,0.4500,0.0330,-0.4360,0.92,2.000e-01,-6.000e-02
K02624.01,Kepler-1294 b,CONFIRMED,CANDIDATE,0.2260,0.2230,-0.2260,3.52,5.800e-01,-4.400e-01
K02625.01,Kepler-1295 b,CONFIRMED,CANDIDATE,0.3060,0.1450,-0.3060,1.37,3.200e-01,-1.200e-01
K02626.01,Kepler-1652 b,CONFIRMED,CANDIDATE,0.9530,0.0190,-0.6880,1.58,2.000e-01,-2.100e-01
